iter	Passed	Remaining
409	4629	6661
410	4636	6644
411	4646	6631
412	4654	6615
413	4665	6603
414	4673	6587
415	4682	6572
416	4689	6556
417	4700	6544
418	4709	6530
419	4717	6514
420	4727	6502
421	4736	6486
422	4746	6474
423	4755	6459
424	4766	6449
425	4778	6438
426	4786	6423
427	4800	6415
428	4809	6401
429	4817	6386
430	4826	6371
431	4835	6357
432	4845	6344
433	4854	6330
434	4863	6316
435	4871	6302
436	4881	6289
437	4891	6275
438	4898	6260
439	4908	6247
440	4916	6232
441	4926	6219
442	4934	6203
443	4942	6189
444	4950	6174
445	4960	6161
446	4968	6146
447	4977	6133
448	4986	6119
449	5009	6122
450	5026	6119
451	5036	6106
452	5050	6099
453	5060	6086
454	5068	6071
455	5078	6058
456	5086	6044
457	5095	6030
458	5104	6015
459	5112	6001
460	5120	5986
461	5128	5972
462	5137	5958
463	5145	5944
464	5155	5931
465	5163	5917
466	5173	5904
467	5180	5889
468	5190	5876
469	5199	5862
470	5208	5849
471	5216	5835
472	5224	5820
473	5232	5806
474	5241	5793
475	5249	5778
476	5258	5766
477	5267	5752
478	5275	5737
479	5283	5724
480	5292	5710
481	5300	5696
482	5308	5682
483	5317	5669
484	5325	5655
485	5334	5642
486	5343	5628
487	5352	5615
488	5362	5604
489	5373	5593
490	5381	5579
491	5391	5566
492	5399	5552
493	5407	5539
494	5415	5525
495	5424	5511
496	5435	5500
497	5445	5489
498	5454	5476
499	5470	5470
500	5479	5457
501	5488	5444
502	5496	5430
503	5507	5419
504	5519	5410
505	5533	5402
506	5543	5390
507	5554	5379
508	5567	5371
509	5578	5359
510	5590	5350
511	5604	5341
512	5615	5331
513	5627	5321
514	5642	5313
515	5659	5308
516	5673	5300
517	5684	5289
518	5692	5275
519	5702	5263
520	5712	5252
521	5721	5239
522	5735	5231
523	5751	5224
524	5765	5216
525	5778	5207
526	5791	5197
527	5802	5187
528	5819	5181
529	5837	5176
530	5849	5166
531	5859	5154
532	5872	5145
533	5884	5134
534	5892	5121
535	5904	5111
536	5915	5100
537	5924	5087
538	5936	5077
539	5946	5065
540	5954	5052
541	5966	5041
542	5974	5027
543	5984	5016
544	5994	5004
545	6002	4991
546	6014	4980
547	6052	4992
548	6065	4982
549	6073	4969
550	6084	4958
551	6096	4948
552	6106	4935
553	6119	4926
554	6131	4916
555	6143	4906
556	6152	4893
557	6169	4887
558	6182	4877
559	6195	4867
560	6205	4855
561	6217	4845
562	6228	4834
563	6238	4822
564	6249	4811
565	6259	4799
566	6268	4787
567	6279	4776
568	6290	4765
569	6301	4753
570	6314	4744
571	6324	4732
572	6334	4720
573	6344	4708
574	6361	4701
575	6374	4692
576	6381	4678
577	6390	4665
578	6398	4652
579	6407	4639
580	6415	4626
581	6425	4615
582	6434	4602
583	6444	4590
584	6455	4579
585	6464	4566
586	6474	4555
587	6482	4542
588	6491	4529
589	6500	4517
590	6510	4505
591	6521	4494
592	6530	4482
593	6541	4471
594	6549	4458
595	6560	4447
596	6570	4435
597	6578	4422
598	6589	4411
599	6597	4398
600	6607	4386
601	6617	4374
602	6627	4363
603	6645	4356
604	6662	4349
605	6676	4340
606	6690	4331
607	6700	4319
608	6709	4307
609	6720	4296
610	6728	4284
611	6738	4272
612	6747	4259
613	6758	4249
614	6770	4238
615	6779	4226
616	6789	4214
617	6799	4202
618	6808	4190
619	6819	4179
620	6828	4167
621	6838	4155
622	6846	4142
623	6857	4132
624	6866	4119
625	6874	4107
626	6884	4095
627	6892	4082
628	6903	4071
629	6911	4059
630	6920	4046
631	6928	4034
632	6938	4022
633	6948	4011
634	6957	3999
635	6967	3987
636	6975	3975
637	6983	3962
638	6991	3949
639	7000	3937
640	7008	3925
641	7017	3913
642	7028	3902
643	7065	3905
644	7074	3893
645	7082	3881
646	7090	3868
647	7099	3856
648	7107	3843
649	7116	3831
650	7124	3819
651	7133	3807
652	7141	3794
653	7150	3783
654	7158	3770
655	7167	3758
656	7175	3745
657	7184	3734
658	7192	3721
659	7201	3709
660	7209	3697
661	7218	3685
662	7227	3673
663	7236	3661
664	7246	3650
665	7253	3637
666	7262	3625
667	7270	3613
668	7279	3601
669	7287	3589
670	7295	3577
671	7303	3564
672	7312	3553
673	7321	3541
674	7330	3529
675	7337	3517
676	7347	3505
677	7355	3493
678	7367	3483
679	7378	3472
680	7386	3459
681	7396	3448
682	7403	3436
683	7413	3424
684	7421	3412
685	7430	3401
686	7438	3388
687	7447	3377
688	7455	3365
689	7465	3354
690	7474	3342
691	7484	3331
692	7496	3320
693	7508	3310
694	7517	3299
695	7529	3288
696	7540	3277
697	7550	3266
698	7563	3256
699	7571	3244
700	7584	3235
701	7595	3224
702	7605	3213
703	7617	3202
704	7627	3191
705	7641	3181
706	7652	3171
707	7663	3160
708	7676	3150
709	7688	3140
710	7699	3129
711	7710	3118
712	7718	3106
713	7728	3095
714	7736	3083
715	7744	3071
716	7752	3059
717	7762	3048
718	7770	3036
719	7779	3025
720	7789	3014
721	7797	3002
722	7806	2990
723	7814	2979
724	7824	2967
725	7832	2956
726	7841	2944
727	7848	2932
728	7858	2921
729	7866	2909
730	7874	2897
731	7883	2886
732	7893	2875
733	7901	2863
734	7909	2851
735	7917	2839
736	7927	2828
737	7935	2817
738	7943	2805
739	7952	2794
740	7960	2782
741	7968	2770
742	7976	2759
743	7986	2747
744	7994	2736
745	8002	2724
746	8012	2713
747	8022	2702
748	8030	2691
749	8038	2679
750	8046	2667
751	8055	2656
752	8096	2655
753	8106	2644
754	8117	2634
755	8125	2622
756	8135	2611
757	8143	2599
758	8151	2588
759	8159	2576
760	8168	2565
761	8175	2553
762	8185	2542
763	8193	2530
764	8203	2519
765	8210	2508
766	8220	2497
767	8228	2485
768	8237	2474
769	8246	2463
770	8254	2451
771	8262	2440
772	8272	2429
773	8280	2417
774	8289	2406
775	8297	2395
776	8305	2383
777	8315	2372
778	8324	2361
779	8332	2350
780	8340	2338
781	8349	2327
782	8358	2316
783	8369	2305
784	8378	2294
785	8386	2283
786	8394	2271
787	8404	2260
788	8413	2250
789	8421	2238
790	8431	2227
791	8439	2216
792	8449	2205
793	8457	2194
794	8466	2183
795	8473	2171
796	8483	2160
797	8491	2149
798	8500	2138
799	8512	2128
800	8522	2117
801	8536	2107
802	8549	2097
803	8561	2087
804	8572	2076
805	8583	2065
806	8591	2054
807	8602	2044
808	8612	2033
809	8620	2022
810	8631	2011
811	8641	2000
812	8653	1990
813	8665	1980
814	8674	1969
815	8685	1958
816	8700	1948
817	8717	1939
818	8730	1929
819	8756	1922
820	8769	1911
821	8784	1902
822	8797	1892
823	8806	1880
824	8816	1870
825	8830	1860
826	8846	1850
827	8862	1840
828	8879	1831
829	8896	1822
830	8904	1810
831	8914	1800
832	8922	1788
833	8931	1777
834	8941	1766
835	8949	1755
836	8958	1744
837	8966	1733
838	8976	1722
839	8984	1711
840	8992	1700
841	9002	1689
842	9012	1678
843	9020	1667
844	9029	1656
845	9037	1645
846	9047	1634
847	9056	1623
848	9064	1612
849	9073	1601
850	9081	1590
851	9127	1585
852	9139	1575
853	9149	1564
