iter	RMSE
172	5.961217712
173	5.955489816
174	5.950031779
175	5.945890355
176	5.940705104
177	5.935391124
178	5.932236639
179	5.924183798
180	5.918300333
181	5.913086683
182	5.906582123
183	5.902666575
184	5.899473386
185	5.894134861
186	5.888878713
187	5.882450815
188	5.878096268
189	5.872801964
190	5.867469387
191	5.861956169
192	5.85682655
193	5.850132724
194	5.844788127
195	5.839668716
196	5.83626212
197	5.830386546
198	5.826129572
199	5.819593699
200	5.817016993
201	5.811139625
202	5.806385886
203	5.801918217
204	5.798319183
205	5.792038433
206	5.788478269
207	5.782887739
208	5.778478669
209	5.77572264
210	5.770726395
211	5.766560852
212	5.760002154
213	5.754029742
214	5.749661448
215	5.744860932
216	5.741268197
217	5.736270481
218	5.73271991
219	5.728503663
220	5.724401178
221	5.721616442
222	5.716497193
223	5.710896817
224	5.707312909
225	5.70326673
226	5.700077549
227	5.697063334
228	5.689985738
229	5.686262954
230	5.681894388
231	5.678512062
232	5.673934077
233	5.669648821
234	5.662757974
235	5.658457672
236	5.656398311
237	5.651481487
238	5.64683867
239	5.6428981
240	5.638769179
241	5.632818311
242	5.630537288
243	5.627742699
244	5.624462948
245	5.621396026
246	5.618685126
247	5.614099243
248	5.610757468
249	5.606545799
250	5.599920534
251	5.594459381
252	5.590845595
253	5.584664588
254	5.582207256
255	5.579085739
256	5.573972801
257	5.570247287
258	5.566355684
259	5.563325911
260	5.558875238
261	5.556397664
262	5.553593982
263	5.550663203
264	5.545016615
265	5.539026013
266	5.534928464
267	5.531969158
268	5.528814636
269	5.523913127
270	5.521389943
271	5.51665509
272	5.512612086
273	5.509886961
274	5.506301613
275	5.503127928
276	5.499388637
277	5.495599405
278	5.491140341
279	5.487887327
280	5.483766056
281	5.481295716
282	5.477236352
283	5.47549637
284	5.473419289
285	5.469864647
286	5.468439159
287	5.465538121
288	5.461855128
289	5.458806806
290	5.45508884
291	5.453419506
292	5.450818445
293	5.447178398
294	5.443458245
295	5.441028939
296	5.437414897
297	5.434787349
298	5.432932168
299	5.42917071
300	5.424703273
301	5.420688551
302	5.418195064
303	5.414504566
304	5.411709825
305	5.40852876
306	5.405262855
307	5.404295514
308	5.401618506
309	5.399701383
310	5.396870562
311	5.392352813
312	5.388508647
313	5.383885955
314	5.380214891
315	5.374336953
316	5.371518223
317	5.369342896
318	5.366153326
319	5.361450318
320	5.357221835
321	5.352931917
322	5.349467837
323	5.345078146
324	5.339953569
325	5.335753698
326	5.332481405
327	5.328488488
328	5.324169389
329	5.321506889
330	5.318151568
331	5.316043178
332	5.313448841
333	5.310451108
334	5.306286299
335	5.30393947
336	5.298927347
337	5.295913177
338	5.292727909
339	5.289176395
340	5.286363595
341	5.284250594
342	5.281079444
343	5.277190596
344	5.274817088
345	5.271963114
346	5.269501291
347	5.263245554
348	5.260897054
349	5.256814248
350	5.254177609
351	5.251109718
352	5.24727008
353	5.241541039
354	5.238450107
355	5.234983934
356	5.231369337
357	5.226303989
358	5.222129606
359	5.21957022
360	5.216561616
361	5.211126696
362	5.209046502
363	5.204745664
364	5.200554147
365	5.19751345
366	5.191773888
367	5.189794256
368	5.187016896
369	5.184982469
370	5.181635508
371	5.178317902
372	5.175636763
373	5.172857221
374	5.170486205
375	5.167339927
376	5.164923919
377	5.162825672
378	5.15952221
379	5.157425851
380	5.154726087
381	5.150609993
382	5.147356879
383	5.144384095
384	5.141844027
385	5.140078924
386	5.13699078
387	5.134551333
388	5.131703408
389	5.128999459
390	5.127891996
391	5.125092957
392	5.122121953
393	5.119072224
394	5.115984645
395	5.113024294
396	5.110175219
397	5.107025553
398	5.10487183
399	5.102141348
400	5.098932045
401	5.096886703
402	5.094939731
403	5.092375404
404	5.089105674
405	5.086223208
406	5.083931532
407	5.081322559
408	5.076835753
409	5.074321227
410	5.072570938
411	5.069300602
412	5.067104979
413	5.063571287
414	5.061675714
415	5.059963644
416	5.056621663
417	5.054798752
418	5.052614072
419	5.048127098
420	5.045049257
421	5.043854113
422	5.041650207
423	5.039077599
424	5.035748815
425	5.031273712
426	5.028342993
427	5.025552696
428	5.023721274
429	5.021237346
430	5.018115895
431	5.015529098
432	5.013191566
433	5.010695227
434	5.008584465
435	5.005810131
436	5.003070477
437	5.000385462
438	4.998768381
439	4.994897949
440	4.990715544
441	4.987985416
442	4.985563633
443	4.983489572
444	4.98178857
445	4.979969488
446	4.976999856
447	4.974581422
448	4.972447449
449	4.969825694
450	4.967958083
451	4.965370746
452	4.962115068
453	4.959645196
454	4.956378504
455	4.953221149
456	4.95052824
457	4.948306304
458	4.947530339
459	4.945681003
460	4.942266275
461	4.938914379
462	4.936012501
463	4.932701392
464	4.929834985
465	4.928067289
466	4.924275624
467	4.922674912
468	4.919799292
469	4.916740049
470	4.914816073
471	4.912780982
472	4.910714604
473	4.907559393
474	4.904744481
475	4.902471449
476	4.901457903
477	4.897630166
478	4.896117467
479	4.894809174
480	4.892890672
481	4.891025972
482	4.88918738
483	4.887306147
484	4.885012022
485	4.881415821
486	4.879455788
487	4.876830763
488	4.874861332
489	4.873182179
490	4.870315828
491	4.868388749
492	4.866942472
493	4.863671975
494	4.861596735
495	4.859729138
496	4.857626355
497	4.854472753
498	4.852470879
499	4.84869425
500	4.845425593
501	4.844064091
502	4.839250373
503	4.835799414
504	4.834463565
505	4.83245457
506	4.828277611
507	4.823835294
508	4.820675064
509	4.81935376
510	4.816832283
511	4.815447075
512	4.813198519
513	4.810516657
514	4.807981785
515	4.805965624
516	4.803907802
517	4.802316539
518	4.798794951
519	4.796649642
520	4.794525436
521	4.792665383
522	4.789848483
523	4.788157008
524	4.785583611
525	4.78334374
526	4.781705717
527	4.780394813
528	4.778635691
529	4.776376217
530	4.774235809
531	4.771575592
532	4.769398201
533	4.766490239
534	4.763893139
535	4.762408732
536	4.761102976
537	4.758129695
538	4.7561334
539	4.753385965
540	4.751231342
541	4.749294122
542	4.745969841
543	4.744441328
544	4.742609572
545	4.740814318
546	4.737593036
547	4.736295782
548	4.734514128
549	4.732514487
550	4.730106315
551	4.728308134
552	4.726341741
553	4.723196057
554	4.721747638
555	4.719240003
556	4.716972014
557	4.714188992
558	4.712325217
559	4.710104241
560	4.708603136
561	4.706517476
562	4.704682598
563	4.702280873
564	4.700169026
565	4.697549695
566	4.695824178
567	4.693904489
568	4.6904605
569	4.686905195
570	4.684659743
571	4.682077817
572	4.680406342
573	4.678219238
574	4.675512096
575	4.672747063
576	4.671081164
577	4.668897683
578	4.667246849
579	4.665500269
580	4.662076397
581	4.659381553
582	4.657614182
583	4.655699023
584	4.653038274
585	4.651051632
586	4.648020519
587	4.64518748
588	4.643713537
589	4.641629905
590	4.638373659
591	4.636908149
592	4.634375634
593	4.63293982
594	4.629490409
595	4.627832051
596	4.625831197
597	4.62388471
598	4.622278778
599	4.619547101
600	4.616945496
601	4.615479501
602	4.613759704
603	4.611578143
604	4.608714209
605	4.606497796
606	4.604666069
607	4.602816633
608	4.601760557
609	4.599133955
610	4.597097588
611	4.59574907
612	4.593515353
613	4.592444222
614	4.59164016
615	4.58928819
616	4.586431849
617	4.584799127
618	4.58212113
619	4.579170626
620	4.577615311
621	4.574987399
622	4.572554711
623	4.569772999
624	4.567709542
625	4.565319026
626	4.563098684
627	4.560332727
628	4.557759813
629	4.554555767
630	4.552452277
631	4.551264303
632	4.548687016
633	4.546284806
634	4.544364959
635	4.542779557
636	4.541326957
637	4.540059417
638	4.538459347
639	4.536092714
640	4.534441649
641	4.531872341
642	4.530156214
643	4.528384718
644	4.526405245
645	4.524763291
646	4.522179639
647	4.519586139
648	4.517019893
649	4.515354304
650	4.513324197
651	4.511232038
652	4.509382654
653	4.507413908
654	4.505031357
655	4.503715788
656	4.500339266
657	4.496637561
658	4.493276912
659	4.491453101
660	4.490171651
661	4.488540832
662	4.486043755
663	4.484506268
664	4.48306362
665	4.480923479
666	4.47928749
667	4.476166429
668	4.474274405
669	4.471844389
670	4.470040324
671	4.467753419
672	4.465725616
673	4.463641967
674	4.460606029
675	4.458919126
676	4.456695805
677	4.455241734
678	4.452672587
679	4.450121989
680	4.445474611
681	4.442556472
682	4.440800846
683	4.438778054
684	4.436954604
685	4.435648367
686	4.434826174
687	4.43267182
688	4.431198922
689	4.428914784
690	4.427273562
691	4.425462
692	4.423782147
693	4.422004604
694	4.419963339
695	4.417663319
696	4.416255518
697	4.414635922
698	4.411881782
699	4.410053294
700	4.407419669
701	4.406165128
702	4.404714894
703	4.402487911
704	4.400773989
705	4.398012466
706	4.395911388
707	4.394329109
708	4.39269767
709	4.39047472
710	4.389595617
711	4.387859987
712	4.385872402
713	4.38342379
714	4.381294947
715	4.380506463
716	4.379448476
717	4.377414623
718	4.376252484
719	4.374054359
720	4.372253039
721	4.370446701
722	4.369057266
723	4.366456209
724	4.364885447
725	4.362632351
726	4.361375456
727	4.360033468
728	4.357471984
729	4.354701568
730	4.351954339
731	4.350331303
732	4.34907711
733	4.348248166
734	4.347628855
735	4.346096295
736	4.344424557
737	4.343164638
738	4.34057296
739	4.33867368
740	4.337007737
741	4.335031284
742	4.33215757
743	4.329987453
744	4.328622199
745	4.326871696
746	4.324877546
747	4.322837634
748	4.320696012
749	4.319747326
750	4.316918912
751	4.314654185
752	4.312746845
753	4.310176256
754	4.308447521
755	4.307104096
756	4.305860676
757	4.304120696
758	4.302173077
759	4.300423704
760	4.298632402
761	4.297527743
762	4.295817977
763	4.294025296
764	4.291972565
765	4.290449648
766	4.289329932
767	4.287503916
768	4.285897572
769	4.284952765
770	4.282347507
771	4.280077642
772	4.27790999
773	4.276922374
774	4.275557498
775	4.274321168
776	4.272850324
777	4.271652156
778	4.269402302
779	4.266457424
780	4.265015752
781	4.26203161
782	4.260430708
783	4.258932425
784	4.257047558
785	4.255095609
786	4.253446452
787	4.251272913
788	4.248667838
789	4.246752824
790	4.24507873
791	4.243222365
792	4.241256854
793	4.239693391
794	4.237453186
795	4.236077444
796	4.23455358
797	4.232275298
798	4.230597707
799	4.229640654
800	4.228028646
801	4.226204172
802	4.225515695
803	4.224098406
804	4.222762522
805	4.220833121
806	4.219864863
807	4.217660287
808	4.215388865
809	4.214443568
810	4.21316829
811	4.211012057
812	4.209430849
813	4.20709347
814	4.205482393
815	4.204121
816	4.202675518
817	4.201000374
818	4.199044863
819	4.198269717
820	4.195857946
821	4.19472384
822	4.191826764
823	4.189979704
824	4.188339198
825	4.187119085
826	4.185297931
827	4.183931915
828	4.182945878
829	4.181151506
830	4.179715892
831	4.178329922
832	4.176545816
833	4.174586428
834	4.172415829
835	4.171389314
836	4.169308896
837	4.167028607
838	4.165602509
839	4.16359855
840	4.162561244
841	4.161111415
842	4.159050294
843	4.157741054
844	4.155433863
845	4.154638209
846	4.152406144
847	4.151111106
848	4.150489205
849	4.148618715
850	4.147794839
851	4.146136368
852	4.144195458
853	4.14239627
854	4.141612201
855	4.140068985
856	4.136710031
857	4.135013177
858	4.134203855
859	4.132991892
860	4.132152876
861	4.131065592
862	4.129605355
863	4.126289425
864	4.124357542
865	4.122961152
866	4.121482346
867	4.119027885
868	4.117532546
869	4.115956824
870	4.115036194
871	4.113104422
872	4.11151544
873	4.110896629
874	4.109005922
875	4.107538213
876	4.106027104
877	4.104030015
878	4.10250828
879	4.101376916
880	4.10035459
881	4.098690552
882	4.097240583
883	4.095224884
884	4.094308291
885	4.092612684
886	4.089900275
887	4.088475227
888	4.087083643
889	4.08497284
890	4.083272337
891	4.08068942
892	4.079555244
893	4.077446997
894	4.075100964
895	4.073274462
896	4.070989844
897	4.069471517
898	4.068370686
899	4.066172508
900	4.063823092
901	4.062000484
902	4.059768069
903	4.058682753
904	4.057230204
905	4.056459863
906	4.055413858
907	4.05453288
908	4.053897951
909	4.052226995
910	4.050759601
911	4.049415564
912	4.048404833
913	4.047074944
914	4.045259856
915	4.043877339
916	4.041946456
917	4.040399801
918	4.038693144
919	4.036313165
920	4.035025722
921	4.03323672
922	4.03263161
923	4.030520803
924	4.0296747
925	4.027980281
926	4.026912612
927	4.024625922
928	4.023124327
929	4.021000177
930	4.019278213
931	4.017428123
932	4.015714875
933	4.013926963
934	4.012769263
935	4.011192923
936	4.010153968
937	4.007456377
938	4.00692403
939	4.005940938
940	4.004003164
941	4.002712187
942	4.002004531
943	3.999539055
944	3.998747451
945	3.997321515
946	3.99583672
947	3.994845313
948	3.99330637
949	3.992330771
950	3.990478593
951	3.98950805
952	3.988463788
953	3.987127002
954	3.985415203
955	3.984212844
956	3.982987146
957	3.981245873
958	3.979818282
959	3.977940063
960	3.976738129
961	3.975613492
962	3.974474744
963	3.972786878
964	3.970914746
965	3.969452934
966	3.968319202
967	3.966799496
968	3.965187963
969	3.964090092
970	3.961836404
971	3.960303555
972	3.958933441
973	3.957613623
974	3.95588964
975	3.954105194
976	3.952787376
977	3.951244211
978	3.94976104
979	3.948520188
980	3.946694375
981	3.945210733
982	3.943710436
983	3.940899659
984	3.94024595
985	3.938725625
986	3.93702824
987	3.934829922
988	3.933489652
989	3.931165424
990	3.929550899
991	3.927071089
992	3.925391806
993	3.923766743
994	3.922089605
995	3.920303187
996	3.918614032
997	3.916743077
998	3.914865237
999	3.914326272
